CustomerID,Country,City,State,PostalCode,Region,AddressID
CG-12520,United States,Henderson,Kentucky,42420,South,AD000001
DV-13045,United States,Los Angeles,California,90036,West,AD000002
SO-20335,United States,Fort Lauderdale,Florida,33311,South,AD000003
BH-11710,United States,Los Angeles,California,90032,West,AD000004
AA-10480,United States,Concord,North Carolina,28027,South,AD000005
IM-15070,United States,Seattle,Washington,98103,West,AD000006
HP-14815,United States,Fort Worth,Texas,76106,Central,AD000007
PK-19075,United States,Madison,Wisconsin,53711,Central,AD000008
AG-10270,United States,West Jordan,Utah,84084,West,AD000009
ZD-21925,United States,San Francisco,California,94109,West,AD000010
KB-16585,United States,Fremont,Nebraska,68025,Central,AD000011
SF-20065,United States,Philadelphia,Pennsylvania,19140,East,AD000012
EB-13870,United States,Orem,Utah,84057,West,AD000013
EH-13945,United States,Los Angeles,California,90049,West,AD000014
TB-21520,United States,Philadelphia,Pennsylvania,19140,East,AD000015
MA-17560,United States,Houston,Texas,77095,Central,AD000016
GH-14485,United States,Richardson,Texas,75080,Central,AD000017
SN-20710,United States,Houston,Texas,77041,Central,AD000018
LC-16930,United States,Naperville,Illinois,60540,Central,AD000019
RA-19885,United States,Los Angeles,California,90049,West,AD000020
ES-14080,United States,Melbourne,Florida,32935,South,AD000021
ON-18715,United States,Eagan,Minnesota,55122,Central,AD000022
PO-18865,United States,Westland,Michigan,48185,Central,AD000023
LH-16900,United States,Dover,Delaware,19901,East,AD000024
DP-13000,United States,New Albany,Indiana,47150,Central,AD000025
JM-15265,United States,New York City,New York,10024,East,AD000026
TB-21055,United States,Troy,New York,12180,East,AD000027
KM-16720,United States,Los Angeles,California,90004,West,AD000028
PS-18970,United States,Chicago,Illinois,60610,Central,AD000029
BS-11590,United States,Gilbert,Arizona,85234,West,AD000030
KD-16270,United States,Springfield,Virginia,22153,South,AD000031
HM-14980,United States,New York City,New York,10009,East,AD000032
TB-21520,United States,Jackson,Michigan,49201,Central,AD000033
JE-15745,United States,Memphis,Tennessee,38109,South,AD000034
KB-16600,United States,Houston,Texas,77041,Central,AD000035
JE-15745,United States,Houston,Texas,77070,Central,AD000036
SC-20770,United States,Decatur,Alabama,35601,South,AD000037
DN-13690,United States,San Francisco,California,94122,West,AD000038
JC-16105,United States,Durham,North Carolina,27707,South,AD000039
CS-12400,United States,Chicago,Illinois,60623,Central,AD000040
PO-18865,United States,Columbia,South Carolina,29203,South,AD000041
PG-18895,United States,Rochester,Minnesota,55901,Central,AD000042
GM-14455,United States,Houston,Texas,77095,Central,AD000043
JS-15685,United States,Los Angeles,California,90036,West,AD000044
KB-16315,United States,Minneapolis,Minnesota,55407,Central,AD000045
RB-19705,United States,Portland,Oregon,97206,West,AD000046
PN-18775,United States,New York City,New York,10009,East,AD000047
KD-16345,United States,San Francisco,California,94122,West,AD000048
ER-13855,United States,Saint Paul,Minnesota,55106,Central,AD000049
RB-19465,United States,Chicago,Illinois,60610,Central,AD000050
GZ-14470,United States,Rochester,Minnesota,55901,Central,AD000051
LC-16870,United States,Aurora,Colorado,80013,West,AD000052
JM-15250,United States,Charlotte,North Carolina,28205,South,AD000053
PA-19060,United States,Orland Park,Illinois,60462,Central,AD000054
CV-12805,United States,New York City,New York,10035,East,AD000055
CL-12565,United States,Urbandale,Iowa,50322,Central,AD000056
RC-19960,United States,Columbus,Ohio,43229,East,AD000057
DK-13090,United States,Seattle,Washington,98103,West,AD000058
GG-14650,United States,Bristol,Tennessee,37620,South,AD000059
SC-20725,United States,Wilmington,Delaware,19805,East,AD000060
