OrderID,Sales,Discount,Profit,BillingID
CA-2016-152156,26195,0.0,4191,B000001
CA-2016-152156,73194,0.0,21958,B000002
CA-2016-138688,1462,0.0,687,B000003
US-2015-108966,95757,0.45,-38303,B000004
US-2015-108966,2236,0.2,251,B000005
CA-2014-115812,4886,0.0,1416,B000006
CA-2014-115812,728,0.0,196,B000007
CA-2014-115812,90715,0.2,9071,B000008
CA-2014-115812,1850,0.2,578,B000009
CA-2014-115812,11490,0.0,3447,B000010
CA-2014-115812,170618,0.2,8530,B000011
CA-2014-115812,91142,0.2,6835,B000012
CA-2017-114412,1555,0.2,544,B000013
CA-2016-161389,40797,0.2,13259,B000014
US-2015-118983,6881,0.8,-12385,B000015
US-2015-118983,254,0.8,-381,B000016
CA-2014-105893,66588,0.0,1331,B000017
CA-2014-167164,5550,0.0,999,B000018
CA-2014-143336,856,0.0,248,B000019
CA-2014-143336,21348,0.2,1601,B000020
CA-2014-143336,2272,0.2,738,B000021
CA-2016-137330,1946,0.0,505,B000022
CA-2016-137330,6034,0.0,1568,B000023
US-2017-156909,7137,0.3,-101,B000024
CA-2015-106320,104463,0.0,24026,B000025
CA-2016-121755,1164,0.2,422,B000026
CA-2016-121755,9057,0.0,1177,B000027
US-2015-150630,308343,0.5,-166505,B000028
US-2015-150630,961,0.7,-705,B000029
US-2015-150630,12420,0.2,1552,B000030
US-2015-150630,326,0.2,110,B000031
US-2015-150630,8630,0.2,970,B000032
US-2015-150630,685,0.7,-571,B000033
US-2015-150630,1576,0.2,354,B000034
CA-2017-107727,2947,0.2,994,B000035
CA-2016-117590,109754,0.2,12347,B000036
CA-2016-117590,19092,0.6,-14796,B000037
CA-2015-117415,11332,0.2,3541,B000038
CA-2015-117415,53239,0.32,-4697,B000039
CA-2015-117415,21205,0.3,-1514,B000040
CA-2015-117415,37116,0.2,4175,B000041
CA-2017-120999,14716,0.2,1655,B000042
CA-2016-101343,7788,0.0,389,B000043
CA-2017-139619,9561,0.2,956,B000044
CA-2016-118255,4598,0.0,1977,B000045
CA-2016-118255,1746,0.0,820,B000046
CA-2014-146703,21196,0.0,847,B000047
CA-2016-169194,4500,0.0,495,B000048
CA-2016-169194,2180,0.0,610,B000049
CA-2015-115742,3822,0.0,1796,B000050
CA-2015-115742,7518,0.0,3533,B000051
CA-2015-115742,616,0.0,295,B000052
CA-2015-115742,8999,0.0,1709,B000053
CA-2016-105816,1526,0.0,625,B000054
CA-2016-105816,102995,0.0,29868,B000055
CA-2016-111682,20856,0.0,5214,B000056
CA-2016-111682,3240,0.0,1555,B000057
CA-2016-111682,31941,0.1,709,B000058
CA-2016-111682,1456,0.0,698,B000059
CA-2016-111682,3000,0.0,330,B000060
CA-2016-111682,4848,0.2,1636,B000061
CA-2016-111682,168,0.0,84,B000062
CA-2015-135545,1398,0.0,615,B000063
CA-2015-135545,2582,0.2,936,B000064
CA-2015-135545,14672,0.0,6896,B000065
CA-2015-135545,7976,0.0,2233,B000066
US-2015-164175,21311,0.3,-1522,B000067
CA-2014-106376,111302,0.2,11130,B000068
CA-2014-106376,16796,0.2,6298,B000069
CA-2016-119823,7588,0.0,3566,B000070
CA-2016-106075,461,0.2,173,B000071
CA-2017-114440,1905,0.0,876,B000072
US-2015-134026,83193,0.2,-11439,B000073
US-2015-134026,9704,0.2,121,B000074
US-2015-134026,7278,0.2,-1819,B000075
US-2017-118038,124,0.8,-193,B000076
US-2017-118038,970,0.6,-582,B000077
US-2017-118038,2724,0.2,272,B000078
US-2014-147606,1930,0.6,-1447,B000079
CA-2016-127208,20816,0.0,5620,B000080
CA-2016-127208,1673,0.0,803,B000081
CA-2014-139451,1490,0.0,417,B000082
CA-2014-139451,2139,0.0,620,B000083
CA-2015-149734,20098,0.2,6280,B000084
US-2017-119662,23037,0.2,-4895,B000085
CA-2017-140088,30195,0.0,3321,B000086
CA-2017-155558,1998,0.0,679,B000087
CA-2017-155558,616,0.0,295,B000088
CA-2016-159695,15836,0.2,1385,B000089
CA-2016-109806,2010,0.0,663,B000090
CA-2016-109806,7358,0.2,827,B000091
