OrderID,OrderDate,CustomerID,ProductID,Quantity
CA-2016-152156,2016-11-08,CG-12520,FUR-BO-10001798,2
CA-2016-152156,2016-11-08,CG-12520,FUR-CH-10000454,3
CA-2016-138688,2016-06-12,DV-13045,OFF-LA-10000240,2
US-2015-108966,2015-10-11,SO-20335,FUR-TA-10000577,5
US-2015-108966,2015-10-11,SO-20335,OFF-ST-10000760,2
CA-2014-115812,2014-06-09,BH-11710,FUR-FU-10001487,7
CA-2014-115812,2014-06-09,BH-11710,OFF-AR-10002833,4
CA-2014-115812,2014-06-09,BH-11710,TEC-PH-10002275,6
CA-2014-115812,2014-06-09,BH-11710,OFF-BI-10003910,3
CA-2014-115812,2014-06-09,BH-11710,OFF-AP-10002892,5
CA-2014-115812,2014-06-09,BH-11710,FUR-TA-10001539,9
CA-2014-115812,2014-06-09,BH-11710,TEC-PH-10002033,4
CA-2017-114412,2017-04-15,AA-10480,OFF-PA-10002365,3
CA-2016-161389,2016-12-05,IM-15070,OFF-BI-10003656,3
US-2015-118983,2015-11-22,HP-14815,OFF-AP-10002311,5
US-2015-118983,2015-11-22,HP-14815,OFF-BI-10000756,3
CA-2014-105893,2014-11-11,PK-19075,OFF-ST-10004186,6
CA-2014-167164,2014-05-13,AG-10270,OFF-ST-10000107,2
CA-2014-143336,2014-08-27,ZD-21925,OFF-AR-10003056,2
CA-2014-143336,2014-08-27,ZD-21925,TEC-PH-10001949,3
CA-2014-143336,2014-08-27,ZD-21925,OFF-BI-10002215,4
CA-2016-137330,2016-12-09,KB-16585,OFF-AR-10000246,7
CA-2016-137330,2016-12-09,KB-16585,OFF-AP-10001492,7
US-2017-156909,2017-07-16,SF-20065,FUR-CH-10002774,2
CA-2015-106320,2015-09-25,EB-13870,FUR-TA-10000577,3
CA-2016-121755,2016-01-16,EH-13945,OFF-BI-10001634,2
CA-2016-121755,2016-01-16,EH-13945,TEC-AC-10003027,3
US-2015-150630,2015-09-17,TB-21520,FUR-BO-10004834,7
US-2015-150630,2015-09-17,TB-21520,OFF-BI-10000474,2
US-2015-150630,2015-09-17,TB-21520,FUR-FU-10004848,3
US-2015-150630,2015-09-17,TB-21520,OFF-EN-10001509,2
US-2015-150630,2015-09-17,TB-21520,OFF-AR-10004042,6
US-2015-150630,2015-09-17,TB-21520,OFF-BI-10001525,6
US-2015-150630,2015-09-17,TB-21520,OFF-AR-10001683,2
CA-2017-107727,2017-10-19,MA-17560,OFF-PA-10000249,3
CA-2016-117590,2016-12-08,GH-14485,TEC-PH-10004977,7
CA-2016-117590,2016-12-08,GH-14485,FUR-FU-10003664,5
CA-2015-117415,2015-12-27,SN-20710,OFF-EN-10002986,9
CA-2015-117415,2015-12-27,SN-20710,FUR-BO-10002545,3
CA-2015-117415,2015-12-27,SN-20710,FUR-CH-10004218,3
CA-2015-117415,2015-12-27,SN-20710,TEC-PH-10000486,4
CA-2017-120999,2017-09-10,LC-16930,TEC-PH-10004093,4
CA-2016-101343,2016-07-17,RA-19885,OFF-ST-10003479,2
CA-2017-139619,2017-09-19,ES-14080,OFF-ST-10003282,2
CA-2016-118255,2016-03-11,ON-18715,TEC-AC-10000171,2
CA-2016-118255,2016-03-11,ON-18715,OFF-BI-10003291,2
CA-2014-146703,2014-10-20,PO-18865,OFF-ST-10001713,4
CA-2016-169194,2016-06-20,LH-16900,TEC-AC-10002167,3
CA-2016-169194,2016-06-20,LH-16900,TEC-PH-10003988,2
CA-2015-115742,2015-04-18,DP-13000,OFF-BI-10004410,6
CA-2015-115742,2015-04-18,DP-13000,OFF-LA-10002762,6
CA-2015-115742,2015-04-18,DP-13000,FUR-FU-10001706,2
CA-2015-115742,2015-04-18,DP-13000,FUR-CH-10003061,1
CA-2016-105816,2016-12-11,JM-15265,OFF-FA-10000304,7
CA-2016-105816,2016-12-11,JM-15265,TEC-PH-10002447,5
CA-2016-111682,2016-06-17,TB-21055,OFF-ST-10000604,6
CA-2016-111682,2016-06-17,TB-21055,OFF-PA-10001569,5
CA-2016-111682,2016-06-17,TB-21055,FUR-CH-10003968,5
CA-2016-111682,2016-06-17,TB-21055,OFF-PA-10000587,2
CA-2016-111682,2016-06-17,TB-21055,TEC-AC-10002167,2
CA-2016-111682,2016-06-17,TB-21055,OFF-BI-10001460,4
CA-2016-111682,2016-06-17,TB-21055,OFF-AR-10001868,1
CA-2015-135545,2015-11-24,KM-16720,TEC-AC-10004633,2
CA-2015-135545,2015-11-24,KM-16720,OFF-BI-10001078,6
CA-2015-135545,2015-11-24,KM-16720,OFF-PA-10003892,3
CA-2015-135545,2015-11-24,KM-16720,FUR-FU-10000397,4
US-2015-164175,2015-04-30,PS-18970,FUR-CH-10001146,5
CA-2014-106376,2014-12-05,BS-11590,OFF-AR-10002671,8
CA-2014-106376,2014-12-05,BS-11590,TEC-PH-10002726,4
CA-2016-119823,2016-06-04,KD-16270,OFF-PA-10000482,2
CA-2016-106075,2016-09-18,HM-14980,OFF-BI-10004654,1
CA-2017-114440,2017-09-14,TB-21520,OFF-PA-10004675,3
US-2015-134026,2015-04-26,JE-15745,FUR-CH-10000513,8
US-2015-134026,2015-04-26,JE-15745,FUR-FU-10003708,2
US-2015-134026,2015-04-26,JE-15745,OFF-ST-10004123,1
US-2017-118038,2017-12-09,KB-16600,OFF-BI-10004182,3
US-2017-118038,2017-12-09,KB-16600,FUR-FU-10000260,3
US-2017-118038,2017-12-09,KB-16600,OFF-ST-10000615,3
US-2014-147606,2014-11-26,JE-15745,FUR-FU-10003194,5
CA-2016-127208,2016-06-12,SC-20770,OFF-AP-10002118,1
CA-2016-127208,2016-06-12,SC-20770,OFF-BI-10002309,3
CA-2014-139451,2014-10-12,DN-13690,OFF-AR-10002053,5
CA-2014-139451,2014-10-12,DN-13690,OFF-ST-10002370,1
CA-2015-149734,2015-09-03,JC-16105,OFF-EN-10000927,7
US-2017-119662,2017-11-13,CS-12400,OFF-ST-10003656,3
CA-2017-140088,2017-05-28,PO-18865,FUR-CH-10000863,2
CA-2017-155558,2017-10-26,PG-18895,TEC-AC-10001998,1
CA-2017-155558,2017-10-26,PG-18895,OFF-LA-10000134,2
CA-2016-159695,2016-04-05,GM-14455,OFF-ST-10003442,7
CA-2016-109806,2016-09-17,JS-15685,OFF-AR-10004930,3
CA-2016-109806,2016-09-17,JS-15685,TEC-PH-10004093,2
CA-2016-109806,2016-09-17,JS-15685,OFF-PA-10000304,1
CA-2015-149587,2015-01-31,KB-16315,OFF-PA-10003177,2
CA-2015-149587,2015-01-31,KB-16315,FUR-FU-10003799,3
CA-2015-149587,2015-01-31,KB-16315,OFF-BI-10002852,2
US-2017-109484,2017-11-06,RB-19705,OFF-BI-10004738,1
CA-2017-161018,2017-11-09,PN-18775,FUR-FU-10000629,7
CA-2017-157833,2017-06-17,KD-16345,OFF-BI-10001721,3
CA-2016-149223,2016-09-06,ER-13855,OFF-AP-10000358,6
CA-2016-158568,2016-08-29,RB-19465,OFF-PA-10003256,7
CA-2016-158568,2016-08-29,RB-19465,TEC-AC-10001767,3
CA-2016-158568,2016-08-29,RB-19465,OFF-BI-10002609,3
CA-2016-129903,2016-12-01,GZ-14470,OFF-PA-10004040,4
US-2015-156867,2015-11-13,LC-16870,TEC-AC-10001552,6
US-2015-156867,2015-11-13,LC-16870,FUR-FU-10004006,3
US-2015-156867,2015-11-13,LC-16870,OFF-BI-10002794,3
CA-2017-119004,2017-11-23,JM-15250,TEC-AC-10003499,8
CA-2017-119004,2017-11-23,JM-15250,TEC-PH-10002844,1
CA-2017-119004,2017-11-23,JM-15250,OFF-AR-10000390,1
CA-2015-129476,2015-10-15,PA-19060,TEC-AC-10000844,5
CA-2017-146780,2017-12-25,CV-12805,FUR-FU-10001934,2
CA-2016-128867,2016-11-03,CL-12565,OFF-AR-10000380,2
CA-2016-128867,2016-11-03,CL-12565,OFF-BI-10003981,6
CA-2014-115259,2014-08-25,RC-19960,OFF-FA-10000621,14
CA-2014-115259,2014-08-25,RC-19960,OFF-EN-10002600,2
CA-2014-115259,2014-08-25,RC-19960,OFF-PA-10004965,3
CA-2014-115259,2014-08-25,RC-19960,OFF-EN-10002504,6
CA-2015-110457,2015-03-02,DK-13090,FUR-TA-10001768,3
US-2015-136476,2015-04-05,GG-14650,OFF-BI-10003650,1
CA-2016-103730,2016-06-12,SC-20725,FUR-FU-10002157,3
CA-2016-103730,2016-06-12,SC-20725,OFF-BI-10003910,4
CA-2016-103730,2016-06-12,SC-20725,OFF-ST-10000777,6
CA-2016-103730,2016-06-12,SC-20725,OFF-EN-10002500,9
CA-2016-103730,2016-06-12,SC-20725,TEC-PH-10003875,7
US-2014-152030,2014-12-26,AD-10180,FUR-CH-10004063,3
US-2014-134614,2014-09-20,PF-19165,FUR-TA-10004534,6
US-2017-107272,2017-11-05,TS-21610,OFF-BI-10003274,2
US-2017-107272,2017-11-05,TS-21610,OFF-ST-10002974,7
US-2016-125969,2016-11-06,LS-16975,FUR-CH-10001146,2
US-2016-125969,2016-11-06,LS-16975,FUR-FU-10003773,3
