ProductID,ProductName,CataloguePrice,SupplierPrice,Category,SubCategory
FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",7886,14969,Furniture,Bookcases
FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",10177,12240,Furniture,Bookcases
FUR-BO-10000362,Sauder Inglewood Library Bookcases,10807,18807,Furniture,Bookcases
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,5635,4080,Furniture,Bookcases
FUR-BO-10000711,"Hon Metal Bookcases, Gray",9014,5181,Furniture,Bookcases
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,10494,24827,Furniture,Bookcases
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,9693,12809,Furniture,Bookcases
FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,4893,5523,Furniture,Bookcases
FUR-BO-10001567,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",-3310,31304,Furniture,Bookcases
FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",11673,12481,Furniture,Bookcases
FUR-BO-10001608,"Hon Metal Bookcases, Black",4345,7828,Furniture,Bookcases
FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,10367,6628,Furniture,Bookcases
FUR-BO-10001798,Bush Somerset Collection Bookcase,15193,11002,Furniture,Bookcases
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",27136,26335,Furniture,Bookcases
FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",11455,17909,Furniture,Bookcases
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,10540,11813,Furniture,Bookcases
FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",-2599,57034,Furniture,Bookcases
FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",10732,15590,Furniture,Bookcases
FUR-BO-10005000,"Sauder Forest Hills Library, Woodland Oak Finish",9609,16212,Furniture,Bookcases
