OrderID,ShipDate,ShipMode,AddressID,ShipmentID
CA-2016-152156,2016-11-11,Second Class,AD000001,SH000001
CA-2017-164098,2017-01-27,First Class,AD000001,SH000002
US-2015-123918,2015-10-15,Same Day,AD000001,SH000003
CA-2016-138688,2016-06-16,Second Class,AD000002,SH000004
CA-2017-139773,2017-12-04,Same Day,AD000002,SH000005
CA-2016-106656,2016-09-26,First Class,AD000002,SH000006
CA-2017-125745,2017-07-04,Standard Class,AD000002,SH000007
CA-2017-168389,2017-12-17,Standard Class,AD000002,SH000008
US-2015-108966,2015-10-18,Standard Class,AD000003,SH000009
CA-2015-161718,2015-12-10,Standard Class,AD000003,SH000010
CA-2017-147228,2017-09-14,Standard Class,AD000003,SH000011
CA-2017-149076,2017-01-19,Standard Class,AD000003,SH000012
CA-2017-166926,2017-12-08,Standard Class,AD000003,SH000013
CA-2017-101700,2017-04-26,First Class,AD000003,SH000014
CA-2014-115812,2014-06-14,Standard Class,AD000004,SH000015
CA-2017-112865,2017-05-22,Standard Class,AD000004,SH000016
CA-2016-112123,2016-03-08,Standard Class,AD000004,SH000017
CA-2017-127306,2017-01-18,Standard Class,AD000004,SH000018
CA-2015-149300,2015-11-23,First Class,AD000004,SH000019
US-2015-130491,2015-02-11,First Class,AD000004,SH000020
CA-2017-135587,2017-12-12,Standard Class,AD000004,SH000021
US-2014-140914,2014-11-15,Standard Class,AD000004,SH000022
CA-2017-114412,2017-04-20,Standard Class,AD000005,SH000023
CA-2014-155271,2014-05-04,Same Day,AD000005,SH000024
CA-2016-121671,2016-07-22,Standard Class,AD000005,SH000025
CA-2016-114601,2016-09-02,Standard Class,AD000005,SH000026
CA-2016-161389,2016-12-10,Standard Class,AD000006,SH000027
CA-2015-154956,2015-07-09,Standard Class,AD000006,SH000028
CA-2014-120768,2014-12-21,Second Class,AD000006,SH000029
CA-2015-100545,2015-11-26,Standard Class,AD000006,SH000030
CA-2016-140501,2016-06-28,Standard Class,AD000006,SH000031
CA-2015-104346,2015-12-16,Standard Class,AD000006,SH000032
CA-2016-109925,2016-11-10,Second Class,AD000006,SH000033
US-2015-118983,2015-11-26,Standard Class,AD000007,SH000034
CA-2015-122259,2015-11-04,Standard Class,AD000007,SH000035
CA-2017-111689,2017-12-02,Second Class,AD000007,SH000036
